layer_num,layer_name,layer_type,mean,std,min,max,percentile_1,percentile_2,percentile_5,percentile_95,percentile_98,percentile_99,percentile_99.5
3,diffusion_model.time_embed.0,Linear,-0.10533606,0.8310985,-6.576072,5.9641747,-4.880367279052734,-1.5144749879837036,-1.2603575170040124,0.06652939170598957,0.09425237774848938,0.5173841714859009,4.151055812835693
5,diffusion_model.time_embed.2,Linear,-0.011715444,0.33544266,-5.776568,4.4786906,-0.199055016040802,-0.01804451458156109,-0.014079220220446586,0.013987610442563874,0.018041573464870453,0.020434560254216194,0.03604301065206528
8,diffusion_model.input_blocks.0.0,Conv2d,0.003947507,0.35097533,-4.1206226,3.8627436,-0.9125641512870788,-0.7556923627853394,-0.5614313334226608,0.5528494596481321,0.7310590744018555,0.8722709798812855,1.0254452776908916
14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-0.10127314,0.80754465,-10.576033,8.855488,-2.598590285778046,-2.087928295135498,-1.4757592499256134,1.059570831060408,1.4605882167816162,1.7746994912624343,2.0849491155147577
18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,-0.100001745,1.6235083,-12.126019,3.5689206,-8.661456108093262,-4.985926151275635,-2.339732062816619,1.2300435602664936,1.6932883262634277,1.8940140008926392,2.863750696182251
23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-0.115078256,0.57169795,-9.069144,3.3838348,-2.6601363801956177,-1.8822098970413208,-0.7962978690862655,0.5196359485387798,0.6961827874183655,0.842241930365561,1.0256662607193006
27,diffusion_model.input_blocks.1.1.proj_in,Linear,3.872815e-05,0.19188677,-2.2651849,2.1376753,-0.49996386796236036,-0.3874629735946655,-0.285579451918602,0.2888087332248688,0.38679784536361694,0.4760633289813988,0.5928412500023852
31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,-0.013069547,1.1052486,-6.3759985,6.0884895,-2.689051961898804,-2.3337562084198,-1.8229710102081298,1.8100759446620933,2.327779531478882,2.6841688680648743,3.0149864029884355
32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,0.0047614104,1.069607,-6.105557,5.704431,-2.547830832004547,-2.2312965393066406,-1.7610951483249664,1.7617961287498456,2.2218825817108154,2.531770310401915,2.8156913530826584
33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,-0.00612128,0.6349014,-4.150914,4.8026094,-1.605274566411972,-1.3678972721099854,-1.040961593389511,1.027691513299942,1.3509495258331299,1.5839688694477005,1.8109499585628541
35,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_out.0,Linear,0.0004987665,0.11838088,-1.1119633,1.4754523,-0.2922828194499016,-0.24701398611068726,-0.18946401104331015,0.18907381519675226,0.24458792805671692,0.2881384381651876,0.3344477237761021
40,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.0.proj,Linear,-0.139675,0.4831491,-7.048066,5.965303,-1.6277237915992737,-1.3139729070663453,-0.934306925535202,0.5649776488542555,0.7722264206409455,0.9242521417140956,1.0709270024299613
42,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.2,Linear,-0.0090004215,0.21215193,-3.143919,2.7061713,-0.526382452249527,-0.40765097379684445,-0.30285642594099044,0.2863226622343063,0.3868929314613345,0.4910714450478534,0.6965998211503075
44,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_q,Linear,0.030341627,0.34363705,-1.7837394,1.6169692,-0.9469980484247208,-0.7478854060173035,-0.49781851917505265,0.5845216095447529,0.9173208475112915,1.071935704946518,1.1554666560888291
45,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_k,Linear,-0.009379578,3.8984172,-25.188126,17.723454,-14.135122861862182,-8.515075054168701,-5.579549312591553,5.455309581756587,8.21731948852539,10.459725780487046,12.81484816074368
46,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_v,Linear,-0.006704599,0.69813514,-6.4808254,6.354285,-2.824676058292389,-1.717757225036621,-0.7815723091363905,0.777237594127655,1.4861199402809158,2.5781254649162255,3.262587879896162
48,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_out.0,Linear,0.0003766235,0.07161257,-0.7469665,0.77800894,-0.1617584004998207,-0.12761705070734025,-0.09693165421485901,0.0951644394546747,0.12708763450384142,0.1519669991731642,0.30908675193786683
53,diffusion_model.input_blocks.1.1.proj_out,Linear,0.013375818,0.23099458,-2.868739,6.373415,-0.5173052674531936,-0.45061515748500824,-0.354430590569973,0.3920662209391592,0.5167913866043091,0.6193011432886122,0.7271029826998716
59,diffusion_model.input_blocks.2.0.in_layers.2,Conv2d,0.13112691,0.46281004,-4.65585,6.191712,-1.2504286444187165,-0.9823985743522644,-0.6443261325359344,0.8180133759975433,1.01606119632721,1.1730982351303099,1.3442665636539475
63,diffusion_model.input_blocks.2.0.emb_layers.1,Linear,0.0801503,0.4534237,-1.8129387,1.2525334,-1.6037709712982178,-1.4352864027023315,-0.9048162162303922,0.5402193814516065,0.6835227608680725,0.7798110246658325,1.0366342067718506
68,diffusion_model.input_blocks.2.0.out_layers.3,Conv2d,0.05031687,0.49490088,-2.868735,4.546267,-1.0025246620178223,-0.8492154645919799,-0.6543660163879395,0.8013166218996048,1.1867080760002136,1.6626432096958124,2.1084561812877727
