,layer_num,layer_name,layer_type,min,max
0,3,diffusion_model.time_embed.0,Linear,-9.39726,9.077583
1,5,diffusion_model.time_embed.2,Linear,-5.985441,6.4987483
2,8,diffusion_model.input_blocks.0.0,Conv2d,-10.337292,9.517671
3,14,diffusion_model.input_blocks.1.0.in_layers.2,Conv2d,-38.58281,45.272648
4,18,diffusion_model.input_blocks.1.0.emb_layers.1,Linear,-17.13343,4.6051235
5,23,diffusion_model.input_blocks.1.0.out_layers.3,Conv2d,-43.021282,5.4679003
6,27,diffusion_model.input_blocks.1.1.proj_in,Linear,-3.1143112,3.260501
7,31,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_q,Linear,-7.600343,8.8759775
8,32,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_k,Linear,-8.299434,7.390327
9,33,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_v,Linear,-4.2912326,4.958847
10,35,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn1.to_out.0,Linear,-2.137256,2.2244124
11,40,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.0.proj,Linear,-9.466945,8.3038225
12,42,diffusion_model.input_blocks.1.1.transformer_blocks.0.ff.net.2,Linear,-7.411802,8.984621
13,44,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_q,Linear,-2.3381932,2.4016259
14,45,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_k,Linear,-25.188126,17.723454
15,46,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_v,Linear,-6.4808254,6.354285
16,48,diffusion_model.input_blocks.1.1.transformer_blocks.0.attn2.to_out.0,Linear,-0.8278948,0.8794011
17,53,diffusion_model.input_blocks.1.1.proj_out,Linear,-12.629396,43.42812
18,59,diffusion_model.input_blocks.2.0.in_layers.2,Conv2d,-4.7499003,6.824331
19,63,diffusion_model.input_blocks.2.0.emb_layers.1,Linear,-2.9229784,1.4167578
20,68,diffusion_model.input_blocks.2.0.out_layers.3,Conv2d,-3.5650754,4.5682855
21,72,diffusion_model.input_blocks.2.1.proj_in,Linear,-6.6069627,4.217317
22,76,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_q,Linear,-7.822981,7.5038
23,77,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_k,Linear,-7.9166703,8.722315
24,78,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_v,Linear,-4.8409925,4.5660563
25,80,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn1.to_out.0,Linear,-3.6031904,3.738093
26,85,diffusion_model.input_blocks.2.1.transformer_blocks.0.ff.net.0.proj,Linear,-4.5434017,5.0033298
27,87,diffusion_model.input_blocks.2.1.transformer_blocks.0.ff.net.2,Linear,-3.8748446,5.714817
28,89,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_q,Linear,-2.1513155,2.0031588
29,90,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_k,Linear,-25.63845,31.088518
30,91,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_v,Linear,-6.8838544,7.9828463
31,93,diffusion_model.input_blocks.2.1.transformer_blocks.0.attn2.to_out.0,Linear,-1.6523118,2.1986747
32,98,diffusion_model.input_blocks.2.1.proj_out,Linear,-6.0108275,5.1242733
33,101,diffusion_model.input_blocks.3.0.op,Conv2d,-16.104322,19.121132
34,107,diffusion_model.input_blocks.4.0.in_layers.2,Conv2d,-11.537841,6.885152
